hint_1|Jūs varat pavēlēt savām vienībām doties uz kādu vietu turot nospiestu F1 taustiņu.
hint_2|Zirgi un karavīri ir lēnāki lietainos laika apstākļos.
hint_3|Jūs varat gaidīt uz kartes turot nospiestu atstarpes taustiņu.
hint_4|Jūs varat noalgot vienības tavernās.
hint_5|Jūs varat dot rīkojumus savām vienībām kamēr esat kaujas laukā.
hint_6|Partija ar augstu morāli pārvietojas ātrāk kamēr ceļojat pa pasaules karti.
hint_7|Ievainotie partijas biedri sadziedēs brūces daudz ātrāk kamēr atpūtīsieties tavernā.
hint_8|Turiet nospiestu ctrl lai ātrāk pirktu un pārdotu preces.
hint_9|Jūs varat nospiest Backspace kaujas laikā lai atvērtu komandu interfesu
hint_10|Jūs maksāsiet pus algas savām vienībām kamēr atpūšaties pilī vai pilsētā.\nJūs maksāsiet pus algas savām vienībām kuras ir ievietotas garnizonā.
hint_11|Jūs varat pamest jebkuru vietu nospiežot Tab taustiņu.
hint_12|Jūs varat turēt Shift taustiņu lai pietuvinātu skatu.
