ui_texture_detail|Детализация текстур:
ui_max_frame_rate|Макс. частота кадров:
ui_enable_bumpmap|Рельефное текстурирование
ui_disable_blood|Скрыть кровь
ui_disable_music|Отключить музыку
ui_disable_sound|Отключить звук
ui_enable_cheats|Включить читы
ui_enable_edit_mode|Включить режим редактирования (может замедлить игру)
ui_enable_pixel_shaders|Использовать шейдеры
ui_enable_sound_variation|Включить рассеивание звука
ui_enable_vertex_shaders|Рендеринг:
ui_shadow_quality|Качество теней:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Показывать частоту кадров
ui_start_windowed|Оконный режим
ui_trialmode_caption|Активация
ui_trialmode|Пожалуйста, активируйте Mount&&Blade Warband вашим серийным ключом. Уникальный серийный ключ, состоящий из 16 цифр, прилагается к копии игры.\nЕсли вы по каким-либо причинам не хотите активировать игру, вы всё ещё можете играть в пробном режиме, пока не достигнете 8 уровня персонажа.
ui_launch_buy|Купите лицензию на TaleWorlds.com
ui_launch_faq|Активация. ЧаВо
ui_trialmode2|Чтобы активировать игру...
ui_trialmode3|Или вы можете...
ui_trialmode4|Если у вас возникли какие-либо вопросы касательно активации, прочтите...
ui_serial_key_caption|Серийный ключ
ui_notification_serial_input|Введите ваш серийный ключ (вы можете скопировать и вставить его) и нажмите кнопку "Активировать"
ui_notification_serial_input_vc|Данный модуль требует серийный ключ Viking Conquest для запуска. Введите ваш ключ для Viking Conquest (вы можете скопировать и вставить его) ниже и нажмите кнопку "Активировать"
ui_activate|Активировать
ui_paste|Вставить
ui_notification_serial_internet_connection|Для активации требуется соединение с интернет!
ui_notification_serial_offline|Если данный компьютер не имеет доступа в интернет вы можете попробовать:
ui_manual_activation|Ручная активация
ui_offline_activation|Офлайн активация
ui_manual_activation_caption|Ручная активация
ui_offline_activation_caption|Офлайн активация
ui_cancel2|Отмена
ui_close|Закрыть
ui_ok2|OK
ui_activation_successful|Игра успешно активирована.
ui_activation_successful2|Пожалуйста, сохраните ключ для будущего использования. Он может вновь понадобиться, если вы захотите установить Mount&&Blade Warband на новый компьютер.
ui_activation_denied|Активация отклонена!
ui_notification_serial_already_used|Серийный ключ был активирован на другом компьютере. Подождите несколько недель, чтобы вновь активировать игру на данном компьютере.
ui_notification_unable_to_connect_to_activation_server|Невозможно подключиться к серверу активации! 
ui_notification_unable_to_connect_to_activation_server2|Пожалуйста, убедитесь, что ваше соединение с интернет работает и попробуйте ещё раз. Если вы используете файрвол, вам может понадобиться разрешить игре доступ в интернет. Если ничего не выходит, попробуйте ручную активацию.
ui_incorrect_serial_number|Неверный серийный ключ!
ui_incorrect_hardware_hash|Неверный хэш оборудования!
ui_incorrect_activation_code|Неверный код активации!
ui_cant_write_to_registry|Не удалось сделать запись в реестре!
ui_video|Видео
ui_audio|Аудио
ui_game|Игра
ui_advanced|Дополнительно
ui_mount_and_blade_is_ready|Mount&&Blade Warband готов.
ui_notification_trial_mode|Mount&&Blade Warband запущен в пробном режиме. Это значит, что вы можете играть в игру бесплатно, пока ваш персонаж не достигнет 6 уровня. Для продолжения игры, пожалуйста, купите лицензию на taleworlds.com. Покупка и активация полной версии займёт лишь несколько минут.
ui_there_are_no_modules_installed|Модули не установлены!
ui_notification_new_version|Обнаружена новая версия Mount&Blade Warband.\nТекущая установленная версия: %d.%d%d%d.\nАктуальная версия Mount&Blade Warband: %d.%d%d%d.\nВы можете скачать новую версию на www.taleworlds.com.
ui_new_version_found|Обнаружена новая версия!
ui_notification_unable_to_retreive_new_version|Не удалось запросить информацию о новой версии. Пожалуйста, попробуйте позже.
ui_new_version|Новая версия:
ui_notification_latest_version|Установленная версия Mount&&Blade Warband актуальна.
ui_mount_and_blade_is_up_to_date|Mount&Blade Warband обновлён!
ui_off|Откл.
ui_continue_playing_the_trial_mode|Продолжить в пробном режиме
ui_faq_caption|ЧаВо
ui_faq_text|В: Что такое активация?\r\nО: Система активации это безопасный способ защиты игры от копирования, основанный на распространении уникального серийного ключа с каждой копией игры. Достаточно активировать игру лишь единожды на каждом компьютере, после этого для игры требуется лишь наличия диска в дисководе. Пока у вас есть серийный ключ, вы всегда можете активировать и запустить игру.\r\n\r\nВ: Где найти серийный ключ?\r\nО: Каждая копия игры распространяется с уникальным серийным ключом. Различные продавцы могут распространять его по-разному. Обычно ключ можно найти прикреплённым к обложке руководства игры. Если вы купили игру онлайн, то ваш ключ должен сообщить продавец.\r\n\r\nВ: Как работает процесс активации?\r\nО: Игра создаёт хэш, соответствующий вашей системе, и отправляет его вместе с серийным ключом на активационный сервер через интернет. Активационный сервер привязывает ключ к вашему компьютеру и возвращает активационный номер, дающий доступ к полной версии игры.\r\n\r\nВ: Могу ли я активировать игру на нескольких компьютерах?\r\nО: Да, вы можете. Однако помните, что игра предназначена для личного пользования, и активационные сервера могут временно отклонять ваш серийный ключ, если он используется слишком часто.\r\n\r\nВ: Программа перестаёт отвечать после нажатия на кнопку активации.\r\nО: Процесс активации может занять до половины минуты. Пожалуйста, будьте терпеливы. Игра сообщит о результате активации.\r\n\r\nВ: Мой компьютер не имеет доступа к интернет. Как мне активировать игру?\r\nО: В этому случае вы можете активировать игру вручную. Просто нажмите кнопки "Ввести серийный ключ" и "Ручная активация". Однако вам всё ещё потребуется компьютер с доступом к интернет, чтобы открыть веб-страницу активации.\r\n
ui_auto_adjust|Автонастройка
ui_screen_size|Разрешение экрана:
ui_antialiasing|Сглаживание:
ui_use_desktop_resolution|Использовать разрешение рабочего стола
ui_play|Запустить игру
ui_check_for_new_version|Проверить наличие новой версии
ui_configure|Настройки
ui_configure_caption|Настройки
ui_mountandblade_website|Веб-сайт Mount & Blade Warband
ui_current_setting| Текущий модуль:
ui_manual_activation_text1|1) Откройте следующий адрес в веб-браузере:
ui_manual_activation_text2|2) На открывшейся странице введите ваш серийный ключ...
ui_manual_activation_text3|3) ...и хэш оборудования вашего компьютера:
ui_manual_activation_text4|4) Вам будет выдан активационный код. Введите или вставьте его ниже и нажмите OK.
ui_activation_code|Активационный код:
ui_force_vsync|Вертикальная синхронизация
ui_module_newer_than_application|Выбранный вами модуль не совместим с данной версией игры. Настоятельно рекомендуем не запускать игру с этими настройками. Чтобы решить эту проблему, обновите версию вашей игры.
ui_module_older_than_application|Выбранный вами модуль был создан для более старой версии игры и может работать некорректно. Вы можете попробовать запустить игру с данными настройками, однако возможны ошибки. Чтобы решить эту проблему, проверьте наличие новой версии модуля.
ui_m_low|Низкое
ui_m_high|Высокое
ui_m_ultra_high|Очень высокое
ui_force_single_threading|Однопоточный режим
ui_not_enough_memory|На данный момент вам доступно %d Мбайт памяти. Для запуска Mount&Blade Warband требуется не менее 700 Мбайт памяти. Если Mount&Blade Warband самопроизвольно закрывается во время игры, попробуйте закрывать иные программы перед запуском или увеличьте виртуальную память в настройках системы в панели управления.
ui_install|Установить Mount&Blade Warband
DirectXText|"Mount&Blade Warband требуется DirectX версии 9.0c или выше. Данный компьютер не удовлетворяет данному требованию. Чтобы решить эту проблему, загрузите и установите последнюю версию DirectX с сайта Microsoft. Хотите ли вы посетить страницу загрузки DirectX на сайте Taleworlds?"
NoMountAndBladeText|"Mount&Blade Warband не был установлен на данный компьютер. Пожалуйста, загрузите установщик на сайте www.taleworlds.com."
ui_SavegamesText|"Хотите ли вы оставить файлы сохранений?"
ui_trialmode_online|Mount&&Blade Warband запущен в пробном режиме. Это значит, что вы можете играть в игру бесплатно, пока ваш персонаж не достигнет 7 уровня. Для продолжения потребуется ввести серийный ключ и активировать игру. Если вы уже приобретали эту игру, вы можете ввести серийный ключ сейчас. Иначе вам не составит труда приобрести игру на Taleworlds.com. Покупка и активация полной версии займёт лишь несколько минут.
ui_launch_activate|Введите ваш серийный ключ
ui_trialmode2_online|После покупки лицензии, вы получите серийный ключ.\nЧтобы открыть полный режим...
ui_trialmode3_online|Если же вы пока не хотите покупать игру, вы можете...
ui_trialmode4_online|Наша система онлайн-продаж хорошо защищена, и мы уделяем особое внимание правам наших покупателей на защиту, приватность, а также запасную копию игры и возможность обновления системы. Если вы хотите узнать больше о нашей политике продаж, загляните сюда:
ui_ondemand_textures|Динамическая загрузка текстур
ui_language|Язык:
ui_steam_not_running|Не удалось запустить Steam. Пожалуйста, запустите Steam.
ui_switch_to_turkish_explanation|Oyunun dilini Turkce'ye cevirmek ister misiniz?
ui_switch_to_turkish_yes|Evet
ui_switch_to_turkish_no|Hayir
ui_new_version_message|Появилась новая версия игры. Хотите посетить страницу загрузки?
ui_enable_version_check|Включить проверку обновлений
ui_disable|Отключить
