hint_1|თქვენ შეგიძლიათ გასცეთ ბრძანება ჯარისკაცების გადაადგილება სასურველ ადგილზე. დააჭირეთ F1  კლავიშს.
hint_2|ცხენები და მამაკაცები უფრო სწრაფად მოძრაობენ წვიმიან ამინდში.
hint_3|თქვენ შეგიძლიათ დაელოდოთ მსოფლიო რუკას სივრცის გასახსნელად ბარზე.
hint_4|თქვენ შეგიძლიათ მიიღოთ ახალი მამაკაცი თქვენს პარტიაში ტავერნიდან.
hint_5|თქვენ შეგიძლიათ ბრძანება გაუწიოთ თქვენს პარტიას ბრძოლაში.
hint_6|რუკაზე მოგზაურობის დროს მაღალი მორალის პარტია უფრო სწრაფად მოძრაობს.
hint_7|დაჭრილი პარტიის წევრები სწრაფად იშუშებენ იარებს, ტავერნაში დასვენებისას.
hint_8|ინვენტარის ფანჯარაში ნივთების სწრაფად შეძენა და გაყიდვისთვის, დააჭირეთ  კონტროლ ღილაკს.
hint_9|თქვენ შეგიძლიათ დააჭიროთ ღილაკს Backspace კლავიშს ბრძოლაში, რათა ნახოთ ბრძანება ინტერფეისი.
hint_10|შენს ჯარებზე ნახევარი ხელფასებს გადაიხდი, სანამ ქალაქში ან ციხეში იმყოფებით. ანალოგიურად, თქვენ გადაიხდით ნახევარ ხელფასს ჯარში თქვენ ციხეში.
hint_11|თქვენ შეგიძლიათ დატოვოთ ნებისმიერი ადგილი მყისიერად tab ღილაკის დაჭერით.
hint_12|თქვენ შეგიძლიათ გეჭიროთ შიფტს (shift)  გასადიდებლად, შორეული მტრების დასანახად.
